id,email,firstname,lastname,createdat
user1,user1@example.com,Michael,Blair,2025-01-02T12:00:00Z
user2,user2@example.com,Shelby,Camacho,2025-01-03T12:00:00Z
user3,user3@example.com,Melissa,Oneal,2025-01-04T12:00:00Z
user4,user4@example.com,Kelsey,Lewis,2025-01-05T12:00:00Z
user5,user5@example.com,Amanda,Burke,2025-01-06T12:00:00Z
user6,user6@example.com,Andrea,Perry,2025-01-07T12:00:00Z
user7,user7@example.com,Jimmy,Adams,2025-01-08T12:00:00Z
user8,user8@example.com,Sara,Hanson,2025-01-09T12:00:00Z
user9,user9@example.com,Jennifer,Jones,2025-01-10T12:00:00Z
user10,user10@example.com,Christopher,Solis,2025-01-11T12:00:00Z
